koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_impact,koi_impact_err1,koi_duration,koi_depth,koi_depth_err1,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,ra,dec
0,0,0,3.895936525,0.524,0.069,2.3111,8544.8,29.5,1005.0,241.62,1.0,5557.0,294.65524,39.308361
0,0,0,22.36646466,0.4,0.066,5.228,986.8,35.1,536.0,19.45,1.0,5395.0,294.71063,39.52174
0,0,0,1.625522174,0.076,0.022,2.38963,7969.0,11.8,1579.0,1467.41,1.0,5539.0,293.87192000000005,38.422939
0,0,0,19.620346923,0.458,0.08,2.0038,21725.0,85.0,643.0,40.39,1.0,5710.0,293.81619,38.563568
1,0,1,7.544039,1.175,33.63,6.222,322.6,28.2,838.0,116.46,2.0,5657.0,293.94116,38.601101
0,0,0,9.02930689,0.024,0.401,3.1449,1019.8,21.9,757.0,77.75,1.0,5349.0,290.33362,38.728229999999996
0,1,0,10.328035714,0.281,0.04,7.7915,16918.0,31.8,843.0,119.31,1.0,5627.0,287.69675,38.886452
0,0,0,143.2063047,0.379,0.073,8.9302,10566.0,82.4,308.0,2.14,2.0,5485.0,285.28362999999996,38.947281
0,0,0,6.164876,0.646,0.323,3.262,55.8,4.3,1021.0,256.35,3.0,5854.0,300.86397999999997,44.337551
0,0,0,60.32494216,0.224,0.067,6.6188,20280.0,64.0,411.0,6.77,1.0,5485.0,285.28362999999996,38.947281
0,0,1,1.540397253,1.225,6.813,2.1541,816.1,25.7,1470.0,1105.68,1.0,5663.0,286.92638999999997,38.921631
0,0,1,2.99025443,0.014,0.334,5.414,589.2,14.1,918.0,168.45,1.0,4667.0,287.74881,38.92955
0,0,0,1.5947453740000002,0.514,0.022,1.9604,15044.0,20.3,1539.0,1329.42,1.0,5934.0,285.21381,39.027481
0,0,0,4.783002698,0.003,0.425,2.335,1008.7,16.6,886.0,145.48,1.0,5170.0,287.09398999999996,39.060719
0,0,0,20.50588921,0.26,0.151,4.0595,2105.5,31.0,518.0,17.06,1.0,4905.0,289.31543,39.153278
0,0,0,3.340218842,0.466,0.002,1.9104,1632.6,26.6,656.0,43.73,1.0,3950.0,286.07912999999996,39.27832
0,1,1,2.507089906,1.255,16.5,2.0067,1339.2,24.7,1326.0,730.47,1.0,5926.0,295.37805,40.493401
0,0,0,18.64932728,0.08,0.329,4.4056,893.6,20.9,701.0,57.13,1.0,5775.0,290.46176,40.562462
0,0,0,4.90144976,0.529,0.021,4.1654,140.7,2.9,1262.0,598.74,3.0,5847.0,297.02826,48.208611
0,0,0,9.75192101,0.949,0.028,4.793,418.0,16.2,870.0,135.66,3.0,5775.0,290.46176,40.562462
0,0,0,38.5576546,0.911,0.025,5.794,993.0,26.8,550.0,21.71,2.0,5775.0,290.46176,40.562462
0,0,0,3.5256325389999996,0.12,0.006,2.59959,22335.0,13.1,975.0,213.12,1.0,5150.0,290.58173,40.5774
0,0,0,34.84398644,0.934,0.575,2.9315,4523.6,82.5,511.0,16.1,1.0,5509.0,285.92001,39.624828
0,0,0,7.748094238999999,0.517,0.237,3.5957,2472.1,25.7,964.0,204.39,1.0,5973.0,294.4899,39.771439
0,0,0,23.96793669,0.416,0.053,3.827,1182.3,46.1,329.0,2.77,1.0,3747.0,283.86638999999997,39.898078999999996
0,0,0,8.11437482,0.573,0.0,2.2736,1558.0,32.0,460.0,10.55,1.0,3692.0,288.81201,40.033401
0,1,0,38.036729482,0.501,0.003,4.34617,82872.0,83.3,500.0,14.81,1.0,5575.0,294.14789,40.055538
0,1,0,4.64090031,1.28,0.098,35.512,2450.6,11.7,1155.0,421.08,1.0,6463.0,295.11371,40.071171
0,1,1,3.747838198,1.121,1.104,5.0642,616.0,5.3,1031.0,266.76,1.0,5514.0,291.06152000000003,50.265128999999995
0,0,0,14.74914825,0.173,0.262,6.0995,430.2,4.2,874.0,137.91,1.0,5847.0,297.02826,48.208611
